id,code,note,name,parent_id/id
hr_togo.hr_salary_rule_category_cnss,CNSS,,CNSS,
hr_togo.hr_salary_rule_category_proftax,PROFTAX,,Professional Tax,
hr_togo.hr_salary_rule_category_taxal,TAXAL,,Tax Allowance,
hr_togo.hr_salary_rule_category_dependents,DEPENDENTS,,Dependents,
hr_togo.hr_salary_rule_category_pension,PENSION,,Pension or Annuities,
hr_togo.hr_salary_rule_category_nts_ded,NTS_DED,,NTS Deductions,
hr_togo.hr_salary_rule_category_nts,NTS,,NTS,
hr_togo.hr_salary_rule_category_tcs,TCS,,TCS,
hr_togo.hr_salary_rule_category_irpp,IRPP,,IRPP,
hr_togo.hr_salary_rule_category_other_ded,OTHER_DED,,Other deductions,
hr_togo.hr_salary_rule_category_other_ded_tot,OTHER_DED_TOT,,Total Other deductions,
