id,menu_access/id,category_id/id,name,implied_ids/id
group_user_tos,"account.menu_finance_receivables,account.menu_action_invoice_tree1,account.menu_finance,base.menu_base_partner",lct_tos_integration.module_category_tos,User,
group_read_tariffs_tos,base.menu_base_partner,lct_tos_integration.module_category_tos,Read Tariffs,
group_cashier_tos,"account.menu_finance_receivables,account.menu_action_invoice_tree1,account.menu_finance",lct_tos_integration.module_category_tos,Cashier,account.group_account_invoice
group_all_access_tos,,lct_tos_integration.module_category_tos,All Access,"lct_tos_integration.group_user_tos,account.group_account_invoice,account.group_proforma_invoices"
group_invoice_validate_tos,"account.menu_finance_receivables,account.menu_action_invoice_tree1,account.menu_finance",lct_tos_integration.module_category_tos,Invoice Validation,account.group_proforma_invoices
group_odoo_user,,base.module_category_administration,Odoo User,"base.group_multi_company,base.group_no_one,base.group_sale_manager,base.group_partner_manager,product.group_product_variant,product.group_purchase_pricelist,product.group_costing_method,product.group_uom,product.group_uos,product.group_stock_packaging,product.group_mrp_properties,share.group_share_user,account.group_account_manager,account.group_proforma_invoices,account.group_supplier_inv_check_total,base.group_hr_manager,base.group_tool_manager,sale.group_invoice_so_lines,sale.group_delivery_invoice_address,sale.group_mrp_properties,sale.group_analytic_accounting,lct_tos_integration.group_read_tariffs_tos,lct_tos_integration.group_cashier_tos,lct_tos_integration.group_all_access_tos"
group_user_creation,"lct_tos_integration.menu_settings_users_2,lct_tos_integration.menu_settings_users_users_2,lct_tos_integration.menu_settings_2",base.module_category_administration,User Creation,base.group_no_one
lct.hr_team,"survey.menu_survey_form,hr_evaluation.menu_evaluation_report_all,survey.menu_surveys,survey.menu_survey_type_form1,hr_contract.hr_menu_contract,hr_holidays.menu_request_approve_allocation,survey.menu_define_survey,survey.menu_survey_page_form1,survey.menu_answer_surveys,hr.menu_hr_configuration,hr.menu_hr_root",base.module_category_human_resources,HR Team,base.group_hr_user
lct.employee,"hr_payroll.menu_department_tree,hr_evaluation.menu_open_view_hr_evaluation_tree,hr.menu_hr_root",base.module_category_human_resources,Employee LCT,base.group_user
lct.manager_lct,"hr_payroll.menu_department_tree,hr_evaluation.menu_open_view_hr_evaluation_tree,hr_evaluation.menu_eval_hr,hr.menu_hr_reporting,hr.menu_hr_root",base.module_category_human_resources,Manager LCT,"base.group_user,lct.employee"
lct.base_group_ar,"account.menu_finance_receivables,account.menu_action_invoice_tree1,account.menu_action_invoice_tree3,account.menu_account_customer",lct.base_groups_do_not,Base group AR,account.group_account_invoice
lct.base_group_2_ap,account.menu_finance_payables,lct.base_groups_do_not,Base group 2 AP,account.group_account_invoice
lct.ap_payments,"account.menu_finance_payables,account.menu_finance_charts,account.menu_action_account_tree2,account_check_writing.menu_action_write_check,account_voucher.menu_action_vendor_payment,account.menu_finance_reports",base.module_category_accounting_and_finance,AP Payments,account.group_account_invoice
lct.base_group_ap,,lct.base_groups_do_not,Base group AP,
lct.ap_invoices,"account.menu_finance_payables,account.menu_finance_charts,account.menu_action_invoice_tree2,LCT_supplier_invoice.menu_action_invoice_line,account.menu_action_account_tree2,account_voucher.menu_action_purchase_receipt,account.menu_finance_reports",base.module_category_accounting_and_finance,AP Invoices,"account.group_account_invoice,lct.base_group_ap"
